Image,ObjectID,Area,Perimeter,CentroidX,CentroidY,AngleRad,Eccentricity,Circularity,Solidity,BBoxAspect,CornerCount,ConcaveCount,Label_Euclid,Label_Mahalanobis
1.png,1,35422,750,243.0000,164.5000,0.000000,0.447129,0.791335,1.010729,1.1180,1,0,cuadrado,cuadrado
10.png,1,18862,436,303.5361,142.5420,3.133159,0.161679,1.246880,2694.571429,1.0000,1,0,circulo,circulo
10.png,2,20552,456,997.0474,149.0440,3.140344,0.397465,1.242036,2936.000000,1.0000,1,0,circulo,circulo
10.png,3,45173,676,644.0399,304.0443,3.138539,0.221231,1.242211,6453.285714,1.0000,1,0,circulo,circulo
10.png,4,11027,334,284.5593,399.0314,1.591077,0.131771,1.242151,1575.285714,1.0000,1,0,circulo,circulo
10.png,5,16489,408,894.0403,482.0368,1.568703,0.322160,1.244755,2355.571429,1.0000,1,0,circulo,circulo
11.png,1,17293,534,260.5229,205.6969,1.603436,0.080027,0.762075,2470.428571,1.0000,1,0,circulo,estrella
12.png,1,17293,534,260.5229,205.6969,1.603436,0.080027,0.762075,2470.428571,1.0000,1,0,circulo,estrella
12.png,2,18131,554,988.5299,513.5771,1.571320,0.413238,0.742356,2590.142857,1.0000,1,0,flecha,flecha
13.png,1,17293,534,260.5229,205.6969,1.603436,0.080027,0.762075,2470.428571,1.0000,1,0,circulo,estrella
13.png,2,28441,684,399.5307,468.0595,3.141380,0.285673,0.763911,4063.000000,1.0000,1,0,estrella,estrella
13.png,3,18131,554,988.5299,513.5771,1.571320,0.413238,0.742356,2590.142857,1.0000,1,0,flecha,flecha
14.png,1,17293,534,260.5229,205.6969,1.603436,0.080027,0.762075,2470.428571,1.0000,1,0,circulo,estrella
14.png,2,34791,758,862.0295,251.7340,3.141392,0.312332,0.760919,4970.142857,1.0000,1,0,estrella,estrella
14.png,3,28441,684,399.5307,468.0595,3.141380,0.285673,0.763911,4063.000000,1.0000,1,0,estrella,estrella
14.png,4,18131,554,988.5299,513.5771,1.571320,0.413238,0.742356,2590.142857,1.0000,1,0,flecha,flecha
15.png,1,9237,396,558.0000,174.1809,1.570796,0.499016,0.740202,1319.571429,1.0000,1,0,flecha,flecha
15.png,2,17293,534,260.5229,205.6969,1.603436,0.080027,0.762075,2470.428571,1.0000,1,0,circulo,estrella
15.png,3,34791,758,862.0295,251.7340,3.141392,0.312332,0.760919,4970.142857,1.0000,1,0,estrella,estrella
15.png,4,28441,684,399.5307,468.0595,3.141380,0.285673,0.763911,4063.000000,1.0000,1,0,estrella,estrella
15.png,5,18131,554,988.5299,513.5771,1.571320,0.413238,0.742356,2590.142857,1.0000,1,0,flecha,flecha
16.png,1,52822,1342,694.0243,321.0641,1.571552,0.268118,0.368570,7546.000000,1.0000,1,0,estrella,estrella
17.png,1,52822,1342,694.0243,321.0641,1.571552,0.268118,0.368570,7546.000000,1.0000,1,0,estrella,estrella
17.png,2,14586,692,323.0268,453.6724,3.140491,0.315758,0.382766,2083.714286,1.0000,1,0,flecha,estrella
18.png,1,52822,1342,694.0243,321.0641,1.571552,0.268118,0.368570,7546.000000,1.0000,1,0,estrella,estrella
18.png,2,6315,442,211.0168,250.0420,1.510763,0.056742,0.406199,902.142857,1.0000,1,0,circulo,estrella
18.png,3,14586,692,323.0268,453.6724,3.140491,0.315758,0.382766,2083.714286,1.0000,1,0,flecha,estrella
19.png,1,8140,506,1018.0469,174.3484,-3.140763,0.280180,0.399515,1162.857143,1.0000,1,0,flecha,estrella
19.png,2,52822,1342,694.0243,321.0641,1.571552,0.268118,0.368570,7546.000000,1.0000,1,0,estrella,estrella
19.png,3,6315,442,211.0168,250.0420,1.510763,0.056742,0.406199,902.142857,1.0000,1,0,circulo,estrella
19.png,4,14586,692,323.0268,453.6724,3.140491,0.315758,0.382766,2083.714286,1.0000,1,0,flecha,estrella
2.png,1,35422,750,243.0000,164.5000,0.000000,0.447129,0.791335,1.010729,1.1180,1,0,cuadrado,cuadrado
2.png,2,14606,482,376.5000,450.0000,0.000000,0.581675,0.790036,1.016848,1.2294,1,0,cuadrado,cuadrado
20.png,1,8140,506,1018.0469,174.3484,-3.140763,0.280180,0.399515,1162.857143,1.0000,1,0,flecha,estrella
20.png,2,52822,1342,694.0243,321.0641,1.571552,0.268118,0.368570,7546.000000,1.0000,1,0,estrella,estrella
20.png,3,6315,442,211.0168,250.0420,1.510763,0.056742,0.406199,902.142857,1.0000,1,0,circulo,estrella
20.png,4,14586,692,323.0268,453.6724,3.140491,0.315758,0.382766,2083.714286,1.0000,1,0,flecha,estrella
20.png,5,10765,594,980.0079,483.9381,3.138248,0.392836,0.383399,1537.857143,1.0000,1,0,flecha,estrella
21.png,1,12361,474,208.5727,388.5134,-3.141222,0.810582,0.691364,1765.857143,1.0000,1,0,flecha,flecha
