ID_Objeto,Circularidad_Simplificada,Relacion_Aspecto,Excentricidad_Simplif,Clase_Asignada
Obj1,1_rot90.png,0.824781,0.894472,0.447123,Triangulo
Obj2,2.png,0.824781,1.117978,0.447123,Cuadrado
Obj3,2.png,0.823881,1.229358,0.581659,Cuadrado
Obj4,2_flipH.png,0.824781,1.117978,0.447123,Cuadrado
Obj5,2_flipH.png,0.823881,1.229358,0.581659,Cuadrado
Obj6,2_flipV.png,0.823881,1.229358,0.581659,Cuadrado
Obj7,2_flipV.png,0.824781,1.117978,0.447123,Cuadrado
Obj8,2_rot180.png,0.823881,1.229358,0.581659,Cuadrado
Obj9,2_rot180.png,0.824781,1.117978,0.447123,Cuadrado
Obj10,2_rot270.png,0.824781,0.894472,0.447123,Triangulo
Obj11,2_rot270.png,0.823881,0.813433,0.581659,Triangulo
Obj12,2_rot90.png,0.823881,0.813433,0.581659,Triangulo
Obj13,2_rot90.png,0.824781,0.894472,0.447123,Triangulo
Obj14,3.png,0.824781,1.117978,0.447123,Cuadrado
Obj15,3.png,0.827259,1.038674,0.270336,Cuadrado
Obj16,3.png,0.823881,1.229358,0.581659,Cuadrado
Obj17,3_flipH.png,0.824781,1.117978,0.447123,Cuadrado
Obj18,3_flipH.png,0.827259,1.038674,0.270336,Cuadrado
Obj19,3_flipH.png,0.823881,1.229358,0.581659,Cuadrado
Obj20,3_flipV.png,0.823881,1.229358,0.581659,Cuadrado
Obj21,3_flipV.png,0.827259,1.038674,0.270336,Cuadrado
Obj22,3_flipV.png,0.824781,1.117978,0.447123,Cuadrado
Obj23,3_rot180.png,0.823881,1.229358,0.581659,Cuadrado
Obj24,3_rot180.png,0.827259,1.038674,0.270336,Cuadrado
Obj25,3_rot180.png,0.824781,1.117978,0.447123,Cuadrado
Obj26,3_rot270.png,0.824781,0.894472,0.447123,Triangulo
Obj27,3_rot270.png,0.823881,0.813433,0.581659,Triangulo
Obj28,3_rot270.png,0.827259,0.962766,0.270336,Triangulo
Obj29,3_rot90.png,0.827259,0.962766,0.270336,Triangulo
Obj30,3_rot90.png,0.823881,0.813433,0.581659,Triangulo
Obj31,3_rot90.png,0.824781,0.894472,0.447123,Triangulo
Obj32,4.png,0.824781,1.117978,0.447123,Cuadrado
Obj33,4.png,0.827259,1.038674,0.270336,Cuadrado
Obj34,4.png,0.828381,1.128000,0.462681,Cuadrado
Obj35,4.png,0.823881,1.229358,0.581659,Cuadrado
Obj36,4_flipH.png,0.824781,1.117978,0.447123,Cuadrado
Obj37,4_flipH.png,0.827259,1.038674,0.270336,Cuadrado
Obj38,4_flipH.png,0.828381,1.128000,0.462681,Cuadrado
Obj39,4_flipH.png,0.823881,1.229358,0.581659,Cuadrado
Obj40,4_flipV.png,0.823881,1.229358,0.581659,Cuadrado
Obj41,4_flipV.png,0.828381,1.128000,0.462681,Cuadrado
Obj42,4_flipV.png,0.827259,1.038674,0.270336,Cuadrado
Obj43,4_flipV.png,0.824781,1.117978,0.447123,Cuadrado
Obj44,4_rot180.png,0.823881,1.229358,0.581659,Cuadrado
Obj45,4_rot180.png,0.828381,1.128000,0.462681,Cuadrado
Obj46,4_rot180.png,0.827259,1.038674,0.270336,Cuadrado
Obj47,4_rot180.png,0.824781,1.117978,0.447123,Cuadrado
Obj48,4_rot270.png,0.824781,0.894472,0.447123,Triangulo
Obj49,4_rot270.png,0.823881,0.813433,0.581659,Triangulo
Obj50,4_rot270.png,0.827259,0.962766,0.270336,Triangulo
Obj51,4_rot270.png,0.828381,0.886525,0.462681,Triangulo
Obj52,4_rot90.png,0.828381,0.886525,0.462681,Triangulo
Obj53,4_rot90.png,0.827259,0.962766,0.270336,Triangulo
Obj54,4_rot90.png,0.823881,0.813433,0.581659,Triangulo
Obj55,4_rot90.png,0.824781,0.894472,0.447123,Triangulo
Obj56,5.png,0.824781,1.117978,0.447123,Cuadrado
Obj57,5.png,0.827259,1.038674,0.270336,Cuadrado
Obj58,5.png,0.828381,1.128000,0.462681,Cuadrado
Obj59,5.png,0.823881,1.229358,0.581659,Cuadrado
Obj60,5.png,0.828232,1.141667,0.482470,Cuadrado
Obj61,5_flipH.png,0.824781,1.117978,0.447123,Cuadrado
Obj62,5_flipH.png,0.827259,1.038674,0.270336,Cuadrado
Obj63,5_flipH.png,0.828381,1.128000,0.462681,Cuadrado
Obj64,5_flipH.png,0.823881,1.229358,0.581659,Cuadrado
Obj65,5_flipH.png,0.828232,1.141667,0.482470,Cuadrado
Obj66,5_flipV.png,0.828232,1.141667,0.482470,Cuadrado
Obj67,5_flipV.png,0.823881,1.229358,0.581659,Cuadrado
Obj68,5_flipV.png,0.828381,1.128000,0.462681,Cuadrado
Obj69,5_flipV.png,0.827259,1.038674,0.270336,Cuadrado
Obj70,5_flipV.png,0.824781,1.117978,0.447123,Cuadrado
Obj71,5_rot180.png,0.828232,1.141667,0.482470,Cuadrado
Obj72,5_rot180.png,0.823881,1.229358,0.581659,Cuadrado
Obj73,5_rot180.png,0.828381,1.128000,0.462681,Cuadrado
Obj74,5_rot180.png,0.827259,1.038674,0.270336,Cuadrado
Obj75,5_rot180.png,0.824781,1.117978,0.447123,Cuadrado
Obj76,5_rot270.png,0.828232,0.875912,0.482470,Triangulo
Obj77,5_rot270.png,0.824781,0.894472,0.447123,Triangulo
Obj78,5_rot270.png,0.823881,0.813433,0.581659,Triangulo
Obj79,5_rot270.png,0.827259,0.962766,0.270336,Triangulo
Obj80,5_rot270.png,0.828381,0.886525,0.462681,Triangulo
Obj81,5_rot90.png,0.828381,0.886525,0.462681,Triangulo
Obj82,5_rot90.png,0.827259,0.962766,0.270336,Triangulo
Obj83,5_rot90.png,0.823881,0.813433,0.581659,Triangulo
Obj84,5_rot90.png,0.824781,0.894472,0.447123,Triangulo
Obj85,5_rot90.png,0.828232,0.875912,0.482470,Triangulo
Obj86,6.png,1.006483,1.025316,0.221229,Circulo
Obj87,6_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj88,6_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj89,6_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj90,6_rot270.png,1.006483,0.975309,0.221229,Circulo
Obj91,6_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj92,7.png,1.006483,1.025316,0.221229,Circulo
Obj93,7.png,1.013366,0.991597,0.131765,Circulo
Obj94,7_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj95,7_flipH.png,1.013366,0.991597,0.131765,Circulo
Obj96,7_flipV.png,1.013366,0.991597,0.131765,Circulo
Obj97,7_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj98,7_rot180.png,1.013366,0.991597,0.131765,Circulo
Obj99,7_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj100,7_rot270.png,1.013366,1.008475,0.131765,Circulo
Obj101,7_rot270.png,1.006483,0.975309,0.221229,Circulo
Obj102,7_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj103,7_rot90.png,1.013366,1.008475,0.131765,Circulo
Obj104,8.png,1.009276,1.090323,0.397456,Cuadrado
Obj105,8.png,1.006483,1.025316,0.221229,Circulo
Obj106,8.png,1.013366,0.991597,0.131765,Circulo
Obj107,8_flipH.png,1.009276,1.090323,0.397456,Cuadrado
Obj108,8_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj109,8_flipH.png,1.013366,0.991597,0.131765,Circulo
Obj110,8_flipV.png,1.013366,0.991597,0.131765,Circulo
Obj111,8_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj112,8_flipV.png,1.009276,1.090323,0.397456,Cuadrado
Obj113,8_rot180.png,1.013366,0.991597,0.131765,Circulo
Obj114,8_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj115,8_rot180.png,1.009276,1.090323,0.397456,Cuadrado
Obj116,8_rot270.png,1.013366,1.008475,0.131765,Circulo
Obj117,8_rot270.png,1.006483,0.975309,0.221229,Circulo
Obj118,8_rot270.png,1.009276,0.917160,0.397456,Cuadrado
Obj119,8_rot90.png,1.009276,0.917160,0.397456,Cuadrado
