ID_Objeto,Circularidad_Simplificada,Relacion_Aspecto,Excentricidad_Simplif,Clase_Asignada
Obj86,6.png,1.006483,1.025316,0.221229,Circulo
Obj87,6_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj88,6_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj89,6_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj90,6_rot270.png,1.006483,0.975309,0.221229,Circulo
Obj91,6_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj92,7.png,1.006483,1.025316,0.221229,Circulo
Obj93,7.png,1.013366,0.991597,0.131765,Circulo
Obj94,7_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj95,7_flipH.png,1.013366,0.991597,0.131765,Circulo
Obj96,7_flipV.png,1.013366,0.991597,0.131765,Circulo
Obj97,7_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj98,7_rot180.png,1.013366,0.991597,0.131765,Circulo
Obj99,7_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj100,7_rot270.png,1.013366,1.008475,0.131765,Circulo
Obj101,7_rot270.png,1.006483,0.975309,0.221229,Circulo
Obj102,7_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj103,7_rot90.png,1.013366,1.008475,0.131765,Circulo
Obj105,8.png,1.006483,1.025316,0.221229,Circulo
Obj106,8.png,1.013366,0.991597,0.131765,Circulo
Obj108,8_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj109,8_flipH.png,1.013366,0.991597,0.131765,Circulo
Obj110,8_flipV.png,1.013366,0.991597,0.131765,Circulo
Obj111,8_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj113,8_rot180.png,1.013366,0.991597,0.131765,Circulo
Obj114,8_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj116,8_rot270.png,1.013366,1.008475,0.131765,Circulo
Obj117,8_rot270.png,1.006483,0.975309,0.221229,Circulo
Obj120,8_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj121,8_rot90.png,1.013366,1.008475,0.131765,Circulo
Obj122,9.png,1.011319,1.012987,0.161675,Circulo
Obj124,9.png,1.006483,1.025316,0.221229,Circulo
Obj125,9.png,1.013366,0.991597,0.131765,Circulo
Obj126,9_flipH.png,1.011319,1.012987,0.161675,Circulo
Obj128,9_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj129,9_flipH.png,1.013366,0.991597,0.131765,Circulo
Obj130,9_flipV.png,1.013366,0.991597,0.131765,Circulo
Obj131,9_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj133,9_flipV.png,1.011319,1.012987,0.161675,Circulo
Obj134,9_rot180.png,1.013366,0.991597,0.131765,Circulo
Obj135,9_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj137,9_rot180.png,1.011319,1.012987,0.161675,Circulo
Obj138,9_rot270.png,1.013366,1.008475,0.131765,Circulo
Obj139,9_rot270.png,1.011319,0.987179,0.161675,Circulo
Obj140,9_rot270.png,1.006483,0.975309,0.221229,Circulo
Obj143,9_rot90.png,1.006483,0.975309,0.221229,Circulo
Obj144,9_rot90.png,1.011319,0.987179,0.161675,Circulo
Obj145,9_rot90.png,1.013366,1.008475,0.131765,Circulo
Obj146,10.png,1.011319,1.012987,0.161675,Circulo
Obj148,10.png,1.006483,1.025316,0.221229,Circulo
Obj149,10.png,1.013366,0.991597,0.131765,Circulo
Obj150,10.png,1.012058,0.946309,0.322150,Circulo
Obj151,10_flipH.png,1.011319,1.012987,0.161675,Circulo
Obj153,10_flipH.png,1.006483,1.025316,0.221229,Circulo
Obj154,10_flipH.png,1.013366,0.991597,0.131765,Circulo
Obj155,10_flipH.png,1.012058,0.946309,0.322150,Circulo
Obj156,10_flipV.png,1.012058,0.946309,0.322150,Circulo
Obj157,10_flipV.png,1.013366,0.991597,0.131765,Circulo
Obj158,10_flipV.png,1.006483,1.025316,0.221229,Circulo
Obj160,10_flipV.png,1.011319,1.012987,0.161675,Circulo
Obj161,10_rot180.png,1.012058,0.946309,0.322150,Circulo
Obj162,10_rot180.png,1.013366,0.991597,0.131765,Circulo
Obj163,10_rot180.png,1.006483,1.025316,0.221229,Circulo
Obj165,10_rot180.png,1.011319,1.012987,0.161675,Circulo
Obj166,10_rot270.png,1.013366,1.008475,0.131765,Circulo
Obj167,10_rot270.png,1.011319,0.987179,0.161675,Circulo
Obj168,10_rot270.png,1.006483,0.975309,0.221229,Circulo
